Value,State,state_code
14.7,"Alabama ",AL
16.35,"Alaska ",AK
15.92,"Arizona ",AZ
16.44,"Arkansas ",AR
13.54,"California ",CA
20.16,"Colorado ",CO
13.97,"Connecticut ",CT
12.91,"Delaware ",DE
31.44,"District of Columbia ",DC
14.63,"Florida ",FL
15.34,"Georgia ",GA
14.03,"Hawaii ",HI
20.59,"Idaho ",ID
18.28,"Illinois ",IL
17.84,"Indiana ",IN
18.09,"Iowa ",IA
19.3,"Kansas ",KS
16.26,"Kentucky ",KY
13.6,"Louisiana ",LA
16.95,"Maine ",ME
19.74,"Maryland ",MD
15.76,"Massachusetts ",MA
17.5,"Michigan ",MI
18.51,"Minnesota ",MN
15.19,"Mississippi ",MS
19.31,"Missouri ",MO
21.03,"Montana ",MT
18.51,"Nebraska ",NE
17.43,"Nevada ",NV
17.13,"New Hampshire ",NH
14.33,"New Jersey ",NJ
17.82,"New Mexico ",NM
15.57,"New York ",NY
17.99,"North Carolina ",NC
18.8,"North Dakota ",ND
16.16,"Ohio ",OH
16.46,"Oklahoma ",OK
16.38,"Oregon ",OR
17.42,"Pennsylvania ",PA
14.91,"Rhode Island ",RI
15.88,"South Carolina ",SC
21.32,"South Dakota ",SD
17.43,"Tennessee ",TN
15.55,"Texas ",TX
18.26,"Utah ",UT
18.07,"Vermont ",VT
19.32,"Virginia ",VA
15.03,"Washington ",WA
18.72,"West Virginia ",WV
18.4,"Wisconsin ",WI
20.88,"Wyoming ",WY
