State,Value
Alabama,65.4
Alaska,60.3
Arizona,54.4
Arkansas,72.2
California,36.8
Colorado,67.9
Connecticut,66.5
Delaware,61.9
District of Columbia,37.1
Florida,53.5
Georgia,52.4
Hawaii,21.8
Idaho,81.7
Illinois,61.0
Indiana,78.9
Iowa,85.3
Kansas,75.7
Kentucky,84.3
Louisiana,58.6
Maine,93.1
Maryland,50.5
Massachusetts,71.4
Michigan,74.9
Minnesota,79.5
Mississippi,56.5
Missouri,79.3
Montana,85.9
Nebraska,78.6
Nevada,48.7
New Hampshire,90.0
New Jersey,54.9
New Mexico,37.1
New York,55.4
North Carolina,62.8
North Dakota,84.0
Ohio,78.7
Oklahoma,65.3
Oregon,75.3
Pennsylvania,76.1
Rhode Island,72.0
South Carolina,63.7
South Dakota,81.4
Tennessee,73.7
Texas,41.5
Utah,78.0
Vermont,92.5
Virginia,61.5
Washington,68.0
West Virginia,92.1
Wisconsin,81.1
Wyoming,83.8
