State, per_km2
 Alabama, 38.3
 Alaska, 0.5
 American Samoa, 251
 Arizona, 24.3
 Arkansas, 22.3
 California, 98.0
 Colorado, 21.5
 Connecticut, 288
 Delaware, 196
 District of Columbia, 4361
 Florida, 155
 Georgia, 71.9
 Guam, 283
 Hawaii, 87.5
 Idaho, 8.6
 Illinois, 89.1
 Indiana, 73.1
 Iowa, 22.1
 Kansas, 13.9
 Kentucky, 44.1
 Louisiana, 41.6
 Maine, 17.1
 Maryland, 246
 Massachusetts, 348
 Michigan, 68.8
 Minnesota, 27.7
 Mississippi, 24.4
 Missouri, 34.6
 Montana, 2.9
 Nebraska, 9.9
 Nevada, 10.9
 New Hampshire, 59.4
 New Jersey, 488
 New Mexico, 6.7
 New York, 166
 North Carolina, 82.9
 North Dakota, 4.4
 Northern Mariana Islands, 100
 Ohio, 111
 Oklahoma, 22.3
 Oregon, 17.0
 Pennsylvania, 112
 Puerto Rico, 371
 Rhode Island, 410
 South Carolina, 65.7
 South Dakota, 4.5
 Tennessee, 64.7
 Texas, 43.1
 US Virgin Islands, 251
 Utah, 15.4
 Vermont, 26.9
 Virginia, 84.4
 Washington, 44.8
 West Virginia, 28.8
 Wisconsin, 42.0
 Wyoming, 2.3
