State,Value,state_code
Alabama,16.9,AL
Alaska,11.8,AK
Arizona,17.5,AZ
Arkansas,17.0,AR
California,14.3,CA
Colorado,14.2,CO
Connecticut,17.2,CT
Delaware,18.7,DE
District of Columbia,12.1,DC
Florida,20.5,FL
Georgia,13.9,GA
Hawaii,18.4,HI
Idaho,15.9,ID
Illinois,15.6,IL
Indiana,15.8,IN
Iowa,17.1,IA
Kansas,15.9,KS
Kentucky,16.4,KY
Louisiana,15.4,LA
Maine,20.6,ME
Maryland,15.4,MD
Massachusetts,16.5,MA
Michigan,17.2,MI
Minnesota,15.9,MN
Mississippi,15.9,MS
Missouri,16.9,MO
Montana,18.7,MT
Nebraska,15.7,NE
Nevada,15.7,NV
New Hampshire,18.1,NH
New Jersey,16.1,NJ
New Mexico,17.5,NM
New York,16.4,NY
North Carolina,16.3,NC
North Dakota,15.3,ND
Ohio,17.1,OH
Oklahoma,15.7,OK
Oregon,17.6,OR
Pennsylvania,18.2,PA
Rhode Island,17.2,RI
South Carolina,17.7,SC
South Dakota,16.6,SD
Tennessee,16.4,TN
Texas,12.6,TX
Utah,11.1,UT
Vermont,19.4,VT
Virginia,15.4,VA
Washington,15.4,WA
West Virginia,19.9,WV
Wisconsin,17.0,WI
Wyoming,16.5,WY
